"OriginalLocationID","LocationID","Datetime","MERCURY DATA"
"AJ01","AJ01","5/13/1980","0.0002"
"AJ01","AJ01","10/28/1980","0"
"AJ02","ABRN01","5/13/1980","0.0005"
"AJ02","ABRN01","10/28/1980","0"
"AJ03","ABR070","5/13/1980","0.0002"
"AJ03","ABR070","10/28/1980","0"
"AJ04","HAB001","5/13/1980","0.0006"
"AJ04","HAB001","10/28/1980","0"
"AJ05","ABR049","5/13/1980","0.0002"
"AJ05","ABR049","10/28/1980","0"
"AJ06","ABR036","5/13/1980","0.0003"
"AJ06","ABR036","10/28/1980","0"
"AJ07","ABR028","5/13/1980","0.0005"
"AJ07","ABR028","10/28/1980","0"
"AJ08","ABR017","5/13/1980","0.0003"
"AJ08","ABR017","10/28/1980","0"
"AJ10","ABR006","5/13/1980","0.0001"
"AJ10","ABR006","10/28/1980","0"
"AJ11","ABR001","5/13/1980","0.0007"
"MY10","UPL001","5/13/1980","0.0002"
"MY10","UPL001","10/28/1980","0"
"MY11","MYR071","5/13/1980","0.0002"
"MY11","MYR071","10/28/1980","0.0001"
"MY12","MIB001","5/13/1980","0.0003"
"MY12","MIB001","10/28/1980","0"
"MY13","MWRA070","5/13/1980","0.0002"
"MY13","MWRA070","10/28/1980","0"
"MY14","MWRA172","5/13/1980","0.0002"
"MY15","MWRA061","10/28/1980","0"
"MY17A","MAR036","10/28/1980","0"
"MY18","MWRA059","10/28/1980","0"
"HB01","HAB0015","5/13/1980","0.0006"
"HB01","HAB0015","10/28/1980","0"
"HB02","HAB002","5/13/1980","0.0005"
"HB02","HAB002","10/28/1980","0"
"AJT02","SWBB","5/13/1980","0.0001"
"AJT02","SWBB","10/28/1980","0.00041"
"AJT03","HOB103","10/28/1980","0"
"AJT04","SHBTRIB","10/28/1980","0.0006"
"AJT05","CUBLEX","10/28/1980","0"
"HBT01","HBT01","5/13/1980","0.0019"
"HBT01","HBT01","10/28/1980","0"
"HBT02","HBT02","5/13/1980","0.0008"
"HBT02","HBT02","10/28/1980","0"
"HBT03","HBT03","5/13/1980","0.0007"
"HBT03","HBT03","10/28/1980","0"
"HBT05","HBT05","5/13/1980","0.0002"
"HBT05","HBT05","10/28/1980","0"
"HBT06","HBT06","5/13/1980","0.0005"
"HBT06","HBT06","10/28/1980","0"
"HBT07","HBT07","5/13/1980","0.0004"
"HBT07","HBT07","10/28/1980","0"
"HBT08","HBT08","5/13/1980","0.0006"
"HBT08","HBT08","10/28/1980","0.0001"
