"OriginalLocationID","LocationID","Datetime","TOTAL ALKALINITY DATA"
"AJ01","AJ01","8/6/79","1390"
"AJ01","AJ01","12/12/79","182"
"AJ01","AJ01","5/13/80","56"
"AJ01","AJ01","10/28/80","44"
"AJ01","AJ01","2/26/81","104"
"AJ02","ABRN01","6/27/79","305"
"AJ02","ABRN01","8/6/79","1771"
"AJ02","ABRN01","12/12/79","182"
"AJ02","ABRN01","5/13/80","61"
"AJ02","ABRN01","10/28/80","6.2"
"AJ02","ABRN01","2/26/81","60"
"AJ02","ABRN01","7/29/81","27"
"AJ03","ABR070","6/27/79","31"
"AJ03","ABR070","8/6/79","45"
"AJ03","ABR070","12/12/79","37"
"AJ03","ABR070","5/13/80","28"
"AJ03","ABR070","10/28/80","12"
"AJ03","ABR070","2/26/81","101"
"AJ03","ABR070","7/29/81","41"
"AJ04","HAB001","6/27/79","119"
"AJ04","HAB001","8/6/79","120"
"AJ04","HAB001","12/12/79","102"
"AJ04","HAB001","5/13/80","49"
"AJ04","HAB001","10/28/80","53"
"AJ04","HAB001","2/26/81","102"
"AJ04","HAB001","7/29/81","35"
"AJ05","ABR049","6/27/79","104"
"AJ05","ABR049","8/6/79","82"
"AJ05","ABR049","12/12/79","80"
"AJ05","ABR049","5/13/80","53"
"AJ05","ABR049","10/28/80","49"
"AJ05","ABR049","2/26/81","58"
"AJ05","ABR049","7/29/81","38"
"AJ06","ABR036","6/27/79","82"
"AJ06","ABR036","8/6/79","67"
"AJ06","ABR036","12/12/79","68"
"AJ06","ABR036","5/13/80","49"
"AJ06","ABR036","10/28/80","43"
"AJ06","ABR036","2/26/81","41"
"AJ06","ABR036","7/29/81","36"
"AJ07","ABR028","6/27/79","77"
"AJ07","ABR028","8/6/79","61"
"AJ07","ABR028","12/12/79","64"
"AJ07","ABR028","5/13/80","46"
"AJ07","ABR028","10/28/80","49"
"AJ07","ABR028","2/26/81","42"
"AJ07","ABR028","7/29/81","31"
"AJ08","ABR017","6/27/79","73"
"AJ08","ABR017","8/6/79","60"
"AJ08","ABR017","12/12/79","65"
"AJ08","ABR017","5/13/80","40"
"AJ08","ABR017","10/28/80","40"
"AJ08","ABR017","2/26/81","36"
"AJ08","ABR017","7/29/81","35"
"AJ10","ABR006","6/27/79","70"
"AJ10","ABR006","8/6/79","67"
"AJ10","ABR006","12/12/79","61"
"AJ10","ABR006","5/13/80","42"
"AJ10","ABR006","10/28/80","38"
"AJ10","ABR006","2/26/81","34"
"AJ10","ABR006","7/29/81","41"
"AJ11","ABR001","12/12/79","53"
"AJ11","ABR001","5/13/80","39"
"AJ11","ABR001","2/26/81","36"
"AJ11","ABR001","7/29/81","42"
"MY10","UPL001","6/27/79","41"
"MY10","UPL001","8/6/79","43"
"MY10","UPL001","12/12/79","40"
"MY10","UPL001","5/13/80","35"
"MY10","UPL001","10/28/80","35"
"MY10","UPL001","2/26/81","36"
"MY10","UPL001","7/29/81","35"
"MY11","MYR071","6/27/79","47"
"MY11","MYR071","8/6/79","40"
"MY11","MYR071","12/12/79","50"
"MY11","MYR071","5/13/80","33"
"MY11","MYR071","10/28/80","54"
"MY11","MYR071","2/26/81","47"
"MY11","MYR071","7/29/81","37"
"MY12","MIB001","6/27/79","52"
"MY12","MIB001","8/6/79","55"
"MY12","MIB001","12/12/79","45"
"MY12","MIB001","5/13/80","13"
"MY12","MIB001","10/28/80","41"
"MY12","MIB001","2/26/81","21"
"MY12","MIB001","7/29/81","41"
"MY13","MWRA070","6/27/79","81"
"MY13","MWRA070","8/6/79","48"
"MY13","MWRA070","5/13/80","34"
"MY13","MWRA070","10/28/80","54"
"MY13","MWRA070","2/26/81","34"
"MY13","MWRA070","7/29/81","46"
"MY14","MWRA172","5/13/80","59"
"MY14","MWRA172","7/29/81","49"
"MY15","MWRA061","6/27/79","50"
"MY15","MWRA061","8/6/79","46"
"MY15","MWRA061","10/28/80","55"
"MY15","MWRA061","2/26/81","39"
"MY15","MWRA061","7/29/81","43"
"MY16A","MYR39","2/26/81","54"
"MY17A","MAR036","6/27/79","49"
"MY17A","MAR036","8/6/79","53"
"MY17A","MAR036","10/28/80","31"
"MY17A","MAR036","2/26/81","27"
"MY17A","MAR036","7/29/81","47"
"MY18","MWRA059","6/27/79","58"
"MY18","MWRA059","8/6/79","58"
"MY18","MWRA059","10/28/80","45"
"MY18","MWRA059","2/26/81","30"
"MY18","MWRA059","7/29/81","47"
"HB01","HAB0015","6/27/79","140"
"HB01","HAB0015","8/6/79","134"
"HB01","HAB0015","12/12/79","77"
"HB01","HAB0015","5/13/80","92"
"HB01","HAB0015","10/28/80","49"
"HB01","HAB0015","2/26/81","72"
"HB01","HAB0015","7/29/81","76"
"HB02","HB02","6/27/79","55"
"HB02","HB02","8/6/79","60"
"HB02","HB02","12/12/79","36"
"HB02","HB02","5/13/80","42"
"HB02","HB02","10/28/80","40"
"HB02","HB02","2/26/81","40"
"HB02","HB02","7/29/81","63"
"AJT03","HOB103","38","45"
"AJT03","HOB103","28","46"
"AJT04","SHBTRIB","38","36"
"AJT04","SHBTRIB","28","29"
"AJT04","SHBTRIB","32","33"
"AJT05","CUBLEX","38","44"
"AJT05","CUBLEX","28","22"
"AJT05","CUBLEX","32","36"
"HBT01","HBT01","74","56"
"HBT01","HBT01","45","50"
"HBT01","HBT01","21","30"
"HBT01","HBT01","38","46"
"HBT01","HBT01","28","27"
"HBT01","HBT01","32","95"
"HBT02","HBT02","74","116"
"HBT02","HBT02","45","110"
"HBT02","HBT02","21","191"
"HBT02","HBT02","38","84"
"HBT02","HBT02","28","18"
"HBT02","HBT02","32","85"
"HBT03","HBT03","21","36"
"HBT03","HBT03","38","27"
"HBT03","HBT03","28","23"
"HBT05","HBT05","74","139"
"HBT05","HBT05","40","178"
"HBT05","HBT05","45","100"
"HBT05","HBT05","21","123"
"HBT05","HBT05","38","79"
"HBT05","HBT05","28","21"
"HBT05","HBT05","32","134"
"HBT06","HBT06","74","355"
"HBT06","HBT06","40","352"
"HBT06","HBT06","45","300"
"HBT06","HBT06","21","205"
"HBT06","HBT06","38","157"
"HBT06","HBT06","28","124"
"HBT06","HBT06","32","137"
"HBT07","HBT07","21","86"
"HBT07","HBT07","38","61"
"HBT07","HBT07","28","19"
"HBT08","HBT08","74","275"
"HBT08","HBT08","40","373"
"HBT08","HBT08","45","200"
"HBT08","HBT08","21","165"
"HBT08","HBT08","38","157"
"HBT08","HBT08","28","102"
"HBT08","HBT08","32","136"
