TABLE 12,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,
TOTAL PHOSPHORUS DATA (mg/1),,,,,,,,,,
,,,1 9 7 9,,,1 9 8 0,,1 9 8 1,,
STATION,,6/27,8/6,,12/12,5/13   10/28,,2/26     7/29,,
AJOl,,,,0.54,0.14,0.08,0.13,0.12,,
AJ02,0.12,,,0.33,0.05,0.10,0.10,0.08,0.09,
AJ03,0.11,,,0.08,0.01,0.12,0.18,0.08,0.07,
AJ04,0.08,,,0.04,0.01,0.14,0.10,0.08,0.07,
AJ05,0.15,,,0.18,0.07,0.06,0.08,0.08,0.06,
AJ06,0.09,,,0.12,0.05,0.08,0.10,0.14,0.09,
AJ07,0.14,,,0.16,0.04,0.24,0.28,0.12,0.09,
AJ08,0.13,,,0.17,0.04,0.12,0.18,0.14,0.11,
AJ09,0.06,,,0.14,0.02,0.08,,0.26,0.10,
AJlO,0.03,,,0.11,0.04,0.10,0.13,0.14,0.08,
AJll,,,,,0.04,0.08,,0.14,0.08,
MYlO,0.02,,,0.19,0.01,0.34,0.10,0.10,0.05,
MYll,0.06,,,0.18,0.03,0.16,0.10,0.10,0.06,
MY12,0.06,,,0.10,0.02,0.18,0.10,0.14,0.15,
MY13,0.34,,,0.30,,0.28,0.30,0.34,0.16,
MY14,,,,,,0.80,,,0.18,
MY15,0.20,,,0.15,,,0.15,0.18,0.16,
MY16A,,,,,,,,0.46,,
MY17A,0.10,,,0.32,,,0.15,0.40,0.13,
MY18,0.13,,,0.22,,,0.20,0.26,0.18,
HBOl,0.09,,,0.05,0.06,14,0.10,0.10,0.06,
HB02,0.09,,,0.10,0.01,0.08,0.20,0.06,0.07,
32,,,,,,,,,,
